Fan_inlet_temperature_R,Fan_inlet_Pressure_psia,bypass_duct_pressure_psia,HPC_outlet_pressure_psia,Ratio_of_fuel_flow_to_Ps30_pps_psia,Corrected_core_speed_rpm,High_pressure_turbines_Cool_air_flow,Low_pressure_turbines_Cool_air_flow
0.068836145,0.068836145,0.068832956,-0.015519013,-0.013223403,0.003402437,-0.07141619,0.005032548
0.068836145,0.068836145,0.068832956,-0.0009576215,0.0032879917,0.006299209,-0.011383012,0.018446023
0.068836145,0.068836145,0.068832956,-0.01413843,-0.0037850747,0.0024706763,-0.040846452,-0.049889628
0.068836145,0.068836145,0.068832956,0.018211514,-0.010901188,-0.009207565,0.030797862,-0.009612292
0.068836145,0.068836145,0.068832956,-0.0027091396,-0.005545963,-0.035226364,0.0034003025,-0.02294564
0.068836145,0.068836145,0.068832956,-0.022921285,-0.010515839,-0.01932017,0.038472477,-0.02728311
0.068836145,0.068836145,0.068832956,-0.03913761,-0.007740817,-0.015070515,-0.026240679,-0.023098757
0.068836145,0.068836145,0.068832956,-0.029545717,0.012884656,-0.005770629,-0.023155926,0.02649288
0.068836145,0.068836145,0.068832956,-0.02748695,-0.0025835251,0.0049439836,-0.08290364,0.021909032
0.068836145,0.068836145,0.068832956,0.020870691,0.015053762,-0.006092971,0.018648257,0.010785931
0.068836145,0.068836145,0.068832956,-0.010760706,0.0073486087,0.014023604,-0.040721286,-0.05639313
0.068836145,0.068836145,0.068832956,0.029845722,0.0072389576,-0.014794912,0.055654354,-0.012510396
0.068836145,0.068836145,0.068832956,-0.0024985159,0.00605852,-0.059347495,0.011938577,-0.030825237
0.068836145,0.068836145,0.068832956,0.009066724,0.01674965,-0.03787826,0.03595391,0.036683917
0.068836145,0.068836145,0.068832956,-0.012119524,-0.0021320013,0.009315498,-0.030024515,-0.026068838
0.068836145,0.068836145,0.068832956,-0.013595704,-0.0044209757,-0.01587301,-0.031253975,-0.0011082483
0.068836145,0.068836145,0.068832956,-0.016778596,-0.017102426,0.021519376,-0.019435452,-0.021279672
0.068836145,0.068836145,0.068832956,0.023593,-0.011576962,-0.045746207,-0.0166777,-0.026073148
0.068836145,0.068836145,0.068832956,0.0054797987,-0.0022466881,0.043980535,0.0058010784,-0.02064846
0.068836145,0.068836145,0.068832956,0.026820766,0.00539073,-0.008089195,0.019534077,-0.008223724
0.068836145,0.068836145,0.068832956,0.013018245,-0.0016163383,-0.03166925,-0.027264638,-0.020299502
0.068836145,0.068836145,0.068832956,0.04141858,-0.021495065,-0.0397428,-0.009385806,0.0021856432
0.068836145,0.068836145,0.068832956,0.038858924,-0.0072169285,0.028422525,-0.024677187,0.0048198276
0.068836145,0.068836145,0.068832956,0.01819577,-0.0027729208,0.02088468,-0.02227708,-0.03100989
0.068836145,0.068836145,0.068832956,-0.0038511632,-0.009430576,0.024138413,0.007088033,-0.027512368
0.068836145,0.068836145,0.068832956,0.010965309,0.008407908,-0.020408936,-0.006385815,-0.03528544
0.068836145,0.068836145,0.068832956,-0.010239779,-0.023479553,0.029614896,-0.003853484,-0.011582636
0.068836145,0.068836145,0.068832956,0.024301222,0.024839364,-0.012751479,0.011805521,-0.020055724
0.068836145,0.068836145,0.068832956,0.045477048,0.025374297,-0.035287857,-0.036081787,-0.008961005
0.068836145,0.068836145,0.068832956,0.044963904,-0.0024301698,-0.041626327,-0.0270188,0.015995346
0.068836145,0.068836145,0.068832956,0.030536924,-0.018231062,0.020075697,-0.017464848,0.04581307
0.068836145,0.068836145,0.068832956,0.025709486,-0.009143589,-0.023775235,-0.028095232,-0.0030495264
0.068836145,0.068836145,0.068832956,0.011708926,-0.027302448,0.03867585,0.018238999,0.003505975
0.068836145,0.068836145,0.068832956,0.013130515,-0.0040029604,-0.019930933,-0.010507865,0.01432897
0.068836145,0.068836145,0.068832956,-0.0010785502,-0.018713446,0.04241979,0.00228556,0.094983496
0.068836145,0.068836145,0.068832956,-0.004988975,0.033495434,-0.031037023,0.0019833504,-0.040509515
0.068836145,0.068836145,0.068832956,0.014044136,0.012939178,-0.019774674,-0.006754688,0.015672179
0.068836145,0.068836145,0.068832956,-0.0075330297,0.011147369,-0.010745544,-0.03339871,-0.029932205
0.068836145,0.068836145,0.068832956,-0.0068695326,-0.029618613,0.07124673,-0.010878676,0.048339996
0.068836145,0.068836145,0.068832956,0.0028039615,0.0013100132,0.0060299817,0.0015515462,-0.047169924
0.068836145,0.068836145,0.068832956,-0.021176048,-0.039670967,0.012228189,0.0027856529,0.025765384
0.068836145,0.068836145,0.068832956,-0.015709383,0.019848278,0.011525903,0.0010527737,0.00074019947
0.068836145,0.068836145,0.068832956,-0.011983254,-0.021842578,0.030466974,-0.016568791,0.05158344
0.068836145,0.068836145,0.068832956,0.0034960418,0.028529538,-0.05149435,0.018002445,-0.042923167
0.068836145,0.068836145,0.068832956,0.010917301,-0.011025605,-0.016137341,0.009634412,0.04110073
0.068836145,0.068836145,0.068832956,-0.017135711,0.008751489,-0.044924244,-0.031790394,-0.047667384
0.068836145,0.068836145,0.068832956,-0.0027835658,-0.0356805,0.040764768,-0.010518726,0.050098374
0.068836145,0.068836145,0.068832956,-0.009296132,-0.0022083155,-0.08023698,-0.016930152,-0.04909636
0.068836145,0.068836145,0.068832956,-0.00325672,-0.031892426,0.030005932,-0.009071241,0.012326902
0.068836145,0.068836145,0.068832956,-0.020887913,0.00906438,-0.0165498,-0.016394047,-0.033429243
0.068836145,0.068836145,0.068832956,0.01687474,-0.029544963,0.016807083,0.03534593,0.035516195
0.068836145,0.068836145,0.068832956,-0.015852278,0.015293221,-0.042855714,0.023788357,-0.04705975
0.068836145,0.068836145,0.068832956,0.010889476,-0.017918156,-0.0035450694,0.007457355,0.0090039205
0.068836145,0.068836145,0.068832956,-0.017302083,0.007939268,0.010169689,-0.04594542,-0.03982377
0.068836145,0.068836145,0.068832956,-0.007106765,-0.027299551,0.011558933,-0.012900637,0.0025892237
0.068836145,0.068836145,0.068832956,0.000119161894,0.0018834647,-0.035073534,-0.04065311,-0.032953627
0.068836145,0.068836145,0.068832956,-0.015390186,-0.033432964,-0.018194016,-0.041123826,-0.010166074
0.068836145,0.068836145,0.068832956,-0.019925019,0.003817204,0.006938485,0.018607944,0.005968363
0.068836145,0.068836145,0.068832956,0.02231533,-0.02023853,-0.023010688,0.030048894,-0.0081973
0.068836145,0.068836145,0.068832956,-0.009373293,0.021260656,0.017400404,0.029346602,0.0075462162
0.068836145,0.068836145,0.068832956,-0.0017997219,-0.007904909,0.0028611869,0.026955174,0.007289851
0.068836145,0.068836145,0.068832956,-0.009679395,-0.009215779,0.010075571,-0.014099525,0.019372584
0.068836145,0.068836145,0.068832956,-0.0040932507,-0.01491761,-0.025667356,-0.006315856,0.012237264
0.068836145,0.068836145,0.068832956,-0.0051696748,-0.00047912946,-0.035963044,-0.041322596,-0.00082214986
0.068836145,0.068836145,0.068832956,-0.012112692,0.010242352,-0.03147847,-0.028982768,-0.022412881
0.068836145,0.068836145,0.068832956,-0.01820413,-0.003007914,0.006942639,-0.030703373,-0.019270139
0.068836145,0.068836145,0.068832956,0.031413294,0.006467414,-0.0017743943,0.03961589,-0.041538656
0.068836145,0.068836145,0.068832956,-0.03195109,0.019940116,-0.012630694,-0.009166746,0.03551432
0.068836145,0.068836145,0.068832956,0.0012500468,0.005106842,-0.005577635,0.045511167,-0.010707819
0.068836145,0.068836145,0.068832956,0.009146372,0.029985122,0.0069855843,-0.033327196,0.02611326
0.068836145,0.068836145,0.068832956,0.007431319,-0.009779776,-0.027007762,-0.012387309,-0.03028549
0.068836145,0.068836145,0.068832956,-0.0139933,0.016909016,-0.022249915,-0.024683803,0.034085948
0.068836145,0.068836145,0.068832956,-0.000341053,0.005032189,-0.037616264,-0.008891472,0.0041756993
0.068836145,0.068836145,0.068832956,-0.011550663,0.010735393,0.0058395746,-0.0100957025,0.02730604
0.068836145,0.068836145,0.068832956,0.033849824,0.0037503918,0.069470145,0.000732482,-0.041036308
0.068836145,0.068836145,0.068832956,-0.021559196,-0.0045780432,0.043401532,-0.0028353531,0.06485661
0.068836145,0.068836145,0.068832956,0.015840411,-0.001275782,0.034158852,0.007399428,-0.04426407
0.068836145,0.068836145,0.068832956,0.013210867,0.007923184,0.063869424,-0.011484176,0.0096569145
0.068836145,0.068836145,0.068832956,0.025419258,0.0011446507,0.011851507,-0.04095632,-0.029592374
0.068836145,0.068836145,0.068832956,-0.026490148,0.021875061,0.045198455,0.024827627,-0.008597387
0.068836145,0.068836145,0.068832956,-0.011870066,-0.0012170929,0.031154487,-0.023921236,-0.038323607
0.068836145,0.068836145,0.068832956,0.0056873416,0.0036264157,0.015499013,0.037320506,-0.025862131
0.068836145,0.068836145,0.068832956,0.00012568674,0.01590154,0.03191797,-0.01953925,-0.033399746
0.068836145,0.068836145,0.068832956,-0.026934298,-0.014600986,-0.024679562,0.0110682305,0.08122759
0.068836145,0.068836145,0.068832956,0.013705466,-0.010067789,-0.026197895,-0.060662728,-0.017065592
0.068836145,0.068836145,0.068832956,0.008088608,0.02055914,0.011397269,-0.024704048,-0.010373224
0.068836145,0.068836145,0.068832956,-0.0121748,-0.013032044,0.035946533,-0.07190251,-0.019962996
0.068836145,0.068836145,0.068832956,-0.04366727,0.011245071,-0.0024691324,0.039167996,0.011826975
0.068836145,0.068836145,0.068832956,-0.028208004,0.006770859,0.04737168,-0.0075494135,-0.026695177
0.068836145,0.068836145,0.068832956,-0.012634747,-0.0012020466,0.0129347425,0.03334608,0.0060920217
0.068836145,0.068836145,0.068832956,-0.014315324,0.0026996024,0.0054127844,-0.008787129,0.004965486
0.068836145,0.068836145,0.068832956,0.015481066,-0.005419727,-0.013800756,0.013182617,0.07361837
0.068836145,0.068836145,0.068832956,0.0024480382,-0.024292514,-0.027948767,-0.061445195,-0.0084512215
0.068836145,0.068836145,0.068832956,-0.010127842,0.009381197,0.031397145,-0.0064314837,0.027704634
0.068836145,0.068836145,0.068832956,-0.04838117,8.895455e-05,-0.024582455,-0.061827514,-0.012769002
0.068836145,0.068836145,0.068832956,-0.046727777,0.0070168907,0.024100643,0.04237589,-0.0012293189
0.068836145,0.068836145,0.068832956,-0.044405367,0.009971538,-0.023803182,-0.007555457,-0.031019581
0.068836145,0.068836145,0.068832956,0.037950676,0.03881961,0.043493167,0.03603117,0.0048006913
0.068836145,0.068836145,0.068832956,-0.0057903337,0.055248383,-0.019735072,-0.018628329,-0.012186984
0.068836145,0.068836145,0.068832956,0.023420222,0.020882927,0.022776106,0.033328272,0.006113363
0.068836145,0.068836145,0.068832956,0.038183324,0.020502137,-0.064523436,-0.0035565756,0.003071463
0.068836145,0.068836145,0.068832956,0.04968969,0.010900046,-0.0042630453,0.026596583,-0.015965497
0.068836145,0.068836145,0.068832956,0.0068132826,0.0016529643,-0.031797398,-0.051028326,0.041200448
0.068836145,0.068836145,0.068832956,0.009086942,-0.0082123205,0.013809087,0.018497424,0.024749048
0.068836145,0.068836145,0.068832956,-0.012332451,0.029875793,-0.009787783,-5.673824e-05,0.032033622
0.068836145,0.068836145,0.068832956,0.05295007,0.027427413,0.04210748,0.004596197,0.037341483
0.068836145,0.068836145,0.068832956,0.04249708,0.021695903,-0.029728869,-0.0019089928,-0.006868971
0.068836145,0.068836145,0.068832956,0.022151623,0.0019220752,0.04404269,0.031650465,-0.03830655
0.068836145,0.068836145,0.068832956,0.017800082,-0.0025195414,-0.03609731,0.08156499,-0.05820249
0.068836145,0.068836145,0.068832956,0.021179581,0.012982275,0.015046228,0.0043805637,-0.025578748
0.068836145,0.068836145,0.068832956,-0.01667476,0.005228198,-0.04455919,0.01682152,-0.01429322
0.068836145,0.068836145,0.068832956,-0.009721705,0.0013756765,0.019957127,0.0038003714,0.02520365
0.068836145,0.068836145,0.068832956,-0.00043480925,0.008914325,-0.060500767,0.03266935,0.03903817
0.068836145,0.068836145,0.068832956,0.028944276,0.04114069,0.027442714,-0.0381725,0.02260791
0.068836145,0.068836145,0.068832956,0.031818766,0.00388032,-0.05367745,-0.020295106,-0.011641302
0.068836145,0.068836145,0.068832956,-0.00052014284,0.02346083,0.048960354,-0.03055005,-0.02796438
0.068836145,0.068836145,0.068832956,0.010471856,-0.005851969,-0.052072667,0.040139645,-0.03768523
0.068836145,0.068836145,0.068832956,0.0026897776,0.0155588435,0.040737435,-0.02565449,-0.079326384
0.068836145,0.068836145,0.068832956,0.00047641818,0.06284477,0.0026068462,0.024067355,-0.02326736
0.068836145,0.068836145,0.068832956,-0.0064836997,0.055223744,0.058472257,-0.014247839,-0.015192952
0.068836145,0.068836145,0.068832956,0.00047727715,0.03292027,0.022987489,0.03149489,0.022010896
0.068836145,0.068836145,0.068832956,-0.027626177,0.053000912,0.047262587,-0.045676496,0.05676422
